,M
9990,581
9991,623
9992,597
9993,477
9994,220
9995,5
9996,84
9997,167
9998,171
9999,117
10000,253
10001,659
10002,1023
10003,1381
10004,1562
10005,1685
10006,1930
10007,2107
10008,2400
10009,2512
10010,2591
10011,2697
10012,2656
10013,2635
10014,2613
10015,2583
10016,2774
10017,2746
10018,2442
10019,2349
10020,2339
10021,2370
10022,2365
10023,2310
10024,2019
10025,1847
10026,1694
10027,1437
10028,1057
10029,618
10030,398
10031,193
10032,-120
10033,-508
10034,-877
10035,-1041
10036,-946
10037,-1338
10038,-1681
10039,-2024
10040,-2350
10041,-2552
10042,-2889
10043,-3002
10044,-3385
10045,-3826
10046,-4035
10047,-4220
10048,-4362
10049,-4629
10050,-4888
10051,-4804
10052,-4905
10053,-5033
10054,-5117
10055,-5416
10056,-5263
10057,-5405
10058,-5647
10059,-5590
10060,-5741
10061,-5913
10062,-5775
10063,-5501
10064,-5375
10065,-5258
10066,-5000
10067,-4756
10068,-4779
10069,-4655
10070,-4541
10071,-4672
10072,-4891
10073,-5101
10074,-5024
10075,-5036
10076,-5188
10077,-5394
10078,-5885
10079,-5766
10080,-5384
10081,-5277
10082,-4979
10083,-4742
10084,-4340
10085,-3655
10086,-3077
10087,-2811
10088,-2756
10089,-2747
10090,-2696
10091,-2313
10092,-1825
10093,-1483
10094,-793
10095,-348
10096,-96
10097,746
10098,1144
10099,1242
10100,1953
10101,3328
10102,5541
10103,8298
10104,11207
10105,14470
10106,18138
10107,21770
10108,25035
10109,27439
10110,29144
10111,31011
10112,32258
10113,32501
10114,32307
10115,32298
10116,32300
10117,32231
10118,32218
10119,32146
10120,31394
10121,28212
10122,22821
10123,17309
10124,11518
10125,4907
10126,-1841
10127,-8268
10128,-14572
10129,-20711
10130,-26108
10131,-30468
10132,-32768
10133,-32756
10134,-32767
10135,-32767
10136,-32767
10137,-32767
10138,-32768
10139,-32740
10140,-32259
10141,-30169
10142,-26930
10143,-24129
10144,-21375
10145,-18524
10146,-15900
10147,-13566
10148,-11613
10149,-9353
10150,-6594
10151,-4429
10152,-2584
10153,-334
10154,1764
10155,3932
10156,6382
10157,8780
10158,11655
10159,14370
10160,16896
10161,19372
10162,21803
10163,24250
10164,26323
10165,27798
10166,28570
10167,28948
10168,29062
10169,28441
10170,27611
10171,26513
10172,24337
10173,21424
10174,18286
10175,14676
10176,10848
10177,6392
10178,1667
10179,-1900
10180,-5318
10181,-9699
10182,-13813
10183,-17164
10184,-19573
10185,-21100
10186,-22542
10187,-23813
10188,-24625
10189,-25010
10190,-24592
10191,-23925
10192,-23188
10193,-22292
10194,-21168
10195,-20099
10196,-18594
10197,-16425
10198,-13397
10199,-9566
10200,-5497
10201,-1183
10202,2994
10203,6748
10204,10479
10205,13786
10206,16489
10207,18504
10208,20034
10209,20725
10210,21542
10211,22661
10212,23137
10213,23343
10214,23239
10215,22752
10216,22150
10217,22312
10218,23202
10219,23727
10220,23134
10221,22037
10222,21202
10223,21161
10224,21541
10225,21480
10226,20335
10227,17935
10228,15041
10229,11766
10230,9032
10231,6890
10232,3593
10233,-599
10234,-4811
10235,-8791
10236,-11913
10237,-14370
10238,-17040
10239,-20309
10240,-23619
10241,-26024
10242,-27205
10243,-27654
10244,-27860
10245,-27911
10246,-27503
10247,-26769
10248,-25550
10249,-24184
10250,-22807
10251,-21046
10252,-19525
10253,-18327
10254,-17200
10255,-15735
10256,-13824
10257,-11855
10258,-9724
10259,-7609
10260,-5701
10261,-3733
10262,-1737
10263,418
10264,1927
10265,2816
10266,3656
10267,4239
10268,4583
10269,4816
10270,4768
10271,4585
10272,4106
10273,3622
10274,3139
10275,2407
10276,1662
10277,659
10278,-633
10279,-1465
10280,-1628
10281,-2143
10282,-2546
10283,-2503
10284,-2577
10285,-2298
10286,-2118
10287,-2262
10288,-1965
10289,-1815
10290,-1988
10291,-1935
10292,-1676
10293,-1436
10294,-1274
10295,-499
10296,202
10297,781
10298,1498
10299,2174
10300,3047
10301,3456
10302,3731
10303,4274
10304,4695
10305,5243
10306,5863
10307,6379
10308,6529
10309,6849
10310,6848
10311,6536
10312,6325
10313,6032
10314,5435
10315,4588
10316,3720
10317,2660
10318,1385
10319,-247
10320,-2014
10321,-3172
10322,-4052
10323,-4932
10324,-5728
10325,-6320
10326,-6825
10327,-7249
10328,-7434
10329,-7616
10330,-7813
10331,-8191
10332,-8413
10333,-8430
10334,-8712
10335,-8478
10336,-7931
10337,-7321
10338,-6666
10339,-6157
10340,-5217
10341,-4305
10342,-3456
10343,-2265
10344,-1141
10345,-267
10346,891
10347,1945
10348,2697
10349,3705
10350,4699
10351,5849
10352,6949
10353,7713
10354,8513
10355,9153
10356,9483
10357,9725
10358,9444
10359,8735
10360,8055
10361,7609
10362,7192
10363,6954
10364,6870
10365,6722
10366,6443
10367,6262
10368,5869
10369,5071
10370,4431
10371,3916
10372,3652
10373,3577
10374,3428
10375,2945
10376,2500
10377,3094
10378,3345
10379,3047
10380,3045
10381,3037
10382,2791
10383,2448
10384,2377
10385,2036
10386,1901
10387,1754
10388,1748
10389,2035
10390,2151
10391,2309
10392,1922
10393,1570
10394,1410
10395,1317
10396,1045
10397,940
10398,843
10399,413
10400,29
10401,-136
10402,-284
10403,-703
10404,-908
10405,-975
10406,-1081
10407,-1477
10408,-1533
10409,-1563
10410,-1485
10411,-1493
10412,-1788
10413,-1948
10414,-2289
10415,-2017
10416,-1635
10417,-2259
10418,-2740
10419,-2178
10420,-2256
10421,-2621
10422,-2531
10423,-2648
10424,-2300
10425,-1841
10426,-2025
10427,-2184
10428,-2068
10429,-2029
10430,-2129
10431,-2029
10432,-1781
10433,-2135
10434,-2364
10435,-2236
10436,-2282
10437,-2528
10438,-2335
10439,-1888
10440,-1815
10441,-1561
10442,-1365
10443,-1756
10444,-1870
10445,-1786
10446,-1696
10447,-1603
10448,-2157
10449,-3015
10450,-2620
10451,-2335
10452,-2523
10453,-2203
10454,-2310
10455,-1838
10456,-1447
10457,-1452
10458,-1240
10459,-1255
10460,-1291
10461,-1549
10462,-1739
10463,-1735
10464,-1553
10465,-1202
10466,-857
10467,-493
10468,-147
10469,-294
10470,-121
10471,303
10472,525
10473,857
10474,857
10475,629
10476,328
10477,101
10478,158
10479,179
10480,84
10481,106
10482,134
10483,-139
10484,-305
10485,117
10486,239
10487,164
10488,701
10489,1121
10490,1258
10491,1294
10492,907
10493,630
10494,428
10495,171
10496,439
10497,939
10498,1059
10499,1475
10500,1571
10501,1472
10502,1519
10503,1498
10504,1466
10505,1331
10506,1056
10507,654
10508,171
10509,25
10510,22
10511,239
10512,338
10513,140
10514,165
10515,218
10516,355
10517,651
10518,839
10519,746
10520,879
10521,1080
10522,1317
10523,1486
10524,1328
10525,1321
10526,891
10527,497
10528,410
10529,254
10530,27
10531,-204
10532,-228
10533,31
10534,-120
10535,-662
10536,-720
10537,-872
10538,-1152
10539,-1137
10540,-942
10541,-615
10542,-529
10543,-717
10544,-805
10545,-730
10546,-754
10547,-762
10548,-643
10549,-919
10550,-1320
10551,-1030
10552,-940
10553,-825
10554,-277
10555,-92
10556,278
10557,889
10558,856
10559,922
10560,1044
10561,884
10562,1090
10563,1446
10564,1584
10565,1747
10566,2140
10567,2031
10568,1938
10569,1652
10570,1104
10571,810
10572,313
10573,425
10574,493
10575,157
10576,-130
10577,-642
10578,-992
10579,-1078
10580,-1051
10581,-611
10582,-567
10583,-948
10584,-1259
10585,-1627
10586,-1601
10587,-1298
10588,-1180
10589,-1053
10590,-1101
10591,-1193
10592,-1410
10593,-1501
10594,-1544
10595,-1949
10596,-2508
10597,-2907
10598,-2766
10599,-2492
10600,-1914
10601,-1173
10602,-580
10603,-13
10604,249
10605,539
10606,471
10607,-63
10608,-307
10609,-10
10610,144
10611,228
10612,425
10613,261
10614,-121
10615,-150
10616,-201
10617,-529
10618,-658
10619,-292
10620,387
10621,984
10622,1479
10623,1349
10624,1106
10625,1089
10626,1018
10627,830
10628,692
10629,760
10630,974
10631,1420
10632,1631
10633,1817
10634,1925
10635,2135
10636,2095
10637,1594
10638,1194
10639,864
10640,649
10641,484
10642,755
10643,715
10644,248
10645,45
10646,-164
10647,-500
10648,-847
10649,-894
10650,-714
10651,-743
10652,-553
10653,-514
10654,-694
10655,-529
10656,-319
10657,170
10658,277
10659,-53
10660,-289
10661,-416
10662,-375
10663,261
10664,942
10665,1172
10666,657
10667,429
10668,595
10669,848
10670,1517
10671,1926
10672,2002
10673,1665
10674,1010
10675,628
10676,226
10677,99
10678,99
10679,347
10680,838
10681,1462
10682,1817
10683,2102
10684,2312
10685,2251
10686,2097
10687,1868
10688,1885
10689,1959
10690,2085
10691,2200
10692,2180
10693,1901
10694,1218
10695,542
10696,42
10697,-179
10698,-117
10699,-327
10700,-479
10701,-300
10702,-252
10703,-232
10704,-405
10705,-864
10706,-1161
10707,-1207
10708,-1282
10709,-1422
10710,-1651
10711,-1725
10712,-1645
10713,-1583
10714,-1672
10715,-1699
10716,-1419
10717,-1410
10718,-1302
10719,-816
10720,-364
10721,484
10722,1397
10723,1845
10724,2019
10725,1849
10726,1389
10727,1112
10728,1107
10729,900
10730,916
10731,1155
10732,1003
10733,637
10734,283
10735,492
10736,1258
10737,2048
10738,1974
10739,955
10740,113
10741,-342
10742,-847
10743,-1031
10744,-555
10745,-182
10746,69
10747,177
10748,62
10749,-317
10750,-1101
10751,-1256
10752,-1088
10753,-925
10754,-973
10755,-984
10756,-923
10757,-1126
10758,-1109
10759,-1200
10760,-1223
10761,-954
10762,-427
10763,368
10764,960
10765,1157
10766,1136
10767,720
10768,-213
10769,-822
10770,-941
10771,-919
10772,-849
10773,-670
10774,-588
10775,-408
10776,53
10777,482
10778,1129
10779,1488
10780,1388
10781,951
10782,-53
10783,-949
10784,-1607
10785,-2072
10786,-2207
10787,-2202
10788,-2026
10789,-2007
10790,-1840
10791,-1304
10792,-941
10793,-460
10794,-135
10795,303
10796,848
10797,1161
10798,1094
10799,832
10800,841
10801,711
10802,40
10803,-830
10804,-1990
10805,-2491
10806,-1705
10807,-852
10808,281
10809,793
10810,688
10811,433
10812,-212
10813,-257
10814,100
10815,232
10816,280
10817,262
10818,27
10819,-23
10820,507
10821,1073
10822,1112
10823,777
10824,74
10825,-321
10826,-355
10827,-357
10828,40
10829,284
10830,267
10831,334
10832,123
10833,-214
10834,-102
10835,60
10836,141
10837,-22
10838,-510
10839,-1076
10840,-1184
10841,-1428
10842,-1747
10843,-1519
10844,-1314
10845,-956
10846,-390
10847,30
10848,406
10849,354
10850,190
10851,-130
10852,-462
10853,-282
10854,-80
10855,-182
10856,-755
10857,-1645
10858,-2482
10859,-3081
10860,-2836
10861,-2188
10862,-1521
10863,-600
10864,-330
10865,-428
10866,-569
10867,-1193
10868,-1929
10869,-2499
10870,-2745
10871,-2458
10872,-2084
10873,-2149
10874,-2152
10875,-1681
10876,-1025
10877,-658
10878,-156
10879,148
10880,-149
10881,-581
10882,-834
10883,-1055
10884,-763
10885,-63
10886,730
10887,1263
10888,1080
10889,918
10890,651
10891,300
10892,-15
10893,-556
10894,-463
10895,-263
10896,108
10897,728
10898,1157
10899,1552
10900,1923
10901,2294
10902,2085
10903,1638
10904,1412
10905,1230
10906,757
10907,-117
10908,-867
10909,-832
10910,-353
10911,89
10912,508
10913,209
10914,-355
10915,-699
10916,-735
10917,-483
10918,-18
10919,300
10920,844
10921,1045
10922,659
10923,394
10924,126
10925,211
10926,51
10927,-455
10928,-803
10929,-1053
10930,-708
10931,-453
10932,-297
10933,-218
10934,-266
10935,139
10936,515
10937,501
10938,419
10939,177
10940,-225
10941,-505
10942,-782
10943,-960
10944,-926
10945,-605
10946,-416
10947,-283
10948,81
10949,469
10950,697
10951,695
10952,740
10953,839
10954,504
10955,-145
10956,-208
10957,-708
10958,-1235
10959,-1194
10960,-826
10961,-56
10962,869
10963,1593
10964,1553
10965,1371
10966,1238
10967,701
10968,-46
10969,-882
10970,-1145
10971,-866
10972,-53
10973,1001
10974,1380
10975,1443
10976,999
10977,240
10978,34
10979,-55
10980,-109
10981,42
10982,176
10983,28
10984,394
10985,979
10986,922
10987,333
10988,-422
10989,-712
10990,-475
10991,-358
10992,-401
10993,-519
10994,-751
10995,-790
10996,-800
10997,-1033
10998,-1394
10999,-1724
11000,-1867
11001,-1752
11002,-1481
11003,-1057
11004,-282
11005,774
11006,1749
11007,1735
11008,1165
11009,650
11010,134
11011,-69
11012,-554
11013,-1016
11014,-1069
11015,-1002
11016,-499
11017,-335
11018,-215
11019,67
11020,72
11021,328
11022,571
11023,461
11024,-49
11025,-633
11026,-785
11027,-842
11028,-424
11029,246
11030,465
11031,517
11032,610
11033,1069
11034,1431
11035,1406
11036,1246
11037,1018
11038,733
11039,702
11040,742
11041,700
11042,723
11043,572
11044,409
11045,281
11046,613
11047,1049
11048,1199
11049,1221
11050,1215
11051,1420
11052,1614
11053,2002
11054,2601
11055,2999
11056,3017
11057,2833
11058,2791
11059,2731
11060,2949
11061,3701
11062,4326
11063,4367
11064,3910
11065,3309
11066,3008
11067,2886
11068,3079
11069,3077
11070,3311
11071,3752
11072,3921
11073,4405
11074,4945
11075,5241
11076,5265
11077,5077
11078,4766
11079,4688
11080,4847
11081,4903
11082,4861
11083,4824
11084,4065
11085,3362
11086,3064
11087,2925
11088,2951
11089,2843
11090,2904
11091,3093
11092,3337
11093,3392
11094,2930
11095,1937
11096,730
11097,-29
11098,263
11099,1031
11100,2185
11101,3419
11102,4168
11103,4402
11104,4123
11105,3932
11106,4596
11107,5224
11108,5573
11109,5953
11110,6915
11111,8518
11112,9244
11113,8786
11114,8961
11115,11760
11116,15657
11117,17831
11118,17826
11119,16538
11120,14442
11121,11872
11122,9016
11123,6112
11124,3265
11125,432
11126,-2229
11127,-4752
11128,-7069
11129,-9238
11130,-11337
11131,-13365
11132,-15442
11133,-17738
11134,-20698
11135,-25398
11136,-31739
11137,-32768
11138,-32767
11139,-32768
11140,-32766
11141,-32768
11142,-32765
11143,-32768
11144,-32765
11145,-32768
11146,-32764
11147,-32768
11148,-32760
11149,-32367
11150,-28752
11151,-18958
11152,-8363
11153,-389
11154,7996
11155,15628
11156,22683
11157,29446
11158,32767
11159,32692
11160,32509
11161,32507
11162,32525
11163,32430
11164,32439
11165,32391
11166,32360
11167,32333
11168,32296
11169,32267
11170,32232
11171,32185
11172,31715
11173,29509
11174,25458
11175,21898
11176,18901
11177,15891
11178,13539
11179,10871
11180,7906
11181,4541
11182,1030
11183,-1680
11184,-4133
11185,-6204
11186,-8402
11187,-11077
11188,-12872
11189,-13517
11190,-13434
11191,-13745
11192,-15217
11193,-16793
11194,-17039
11195,-16165
11196,-15570
11197,-15038
11198,-14375
11199,-13787
11200,-12946
11201,-12071
11202,-10905
11203,-9678
11204,-8675
11205,-7868
11206,-7502
11207,-6870
11208,-5607
11209,-4250
11210,-2698
11211,-1217
11212,-100
11213,830
11214,1324
11215,1896
11216,2538
11217,2729
11218,3002
11219,3219
11220,3546
11221,4128
11222,3765
11223,2530
11224,729
11225,-946
11226,-1718
11227,-2259
11228,-2296
11229,-2371
11230,-2628
11231,-2043
11232,-1127
11233,-1269
11234,-2375
11235,-2490
11236,-2018
11237,-1246
11238,-421
11239,-1064
11240,-1732
11241,-1609
11242,-1414
11243,-1218
11244,-1847
11245,-3484
11246,-4764
11247,-4882
11248,-4255
11249,-3084
11250,-1570
11251,-184
11252,956
11253,1807
11254,2423
11255,2832
11256,2772
11257,2892
11258,3102
11259,2786
11260,2309
11261,1541
11262,1067
11263,1458
11264,2102
11265,2519
11266,2618
11267,2596
11268,2821
11269,3170
11270,3199
11271,3189
11272,3059
11273,2596
11274,1810
11275,669
11276,-471
11277,-1035
11278,-1415
11279,-1828
11280,-2047
11281,-2054
11282,-1570
11283,-953
11284,-1027
11285,-1747
11286,-2467
11287,-2622
11288,-2720
11289,-2771
11290,-2396
11291,-2196
11292,-1821
11293,-1677
11294,-2097
11295,-2963
11296,-3927
11297,-4601
11298,-5069
11299,-5421
11300,-5446
11301,-4809
11302,-4012
11303,-3485
11304,-3137
11305,-2535
11306,-2119
11307,-1911
11308,-1803
11309,-2012
11310,-1766
11311,-1310
11312,-879
11313,-1052
11314,-1585
11315,-2307
11316,-2959
11317,-2672
11318,-1750
11319,-782
11320,19
11321,631
11322,897
11323,1664
11324,3179
11325,4962
11326,6065
11327,6282
11328,5819
11329,4586
11330,3588
11331,3146
11332,2926
11333,2670
11334,1914
11335,1334
11336,1392
11337,2129
11338,3513
11339,4758
11340,5550
11341,5847
11342,5438
11343,5011
11344,4318
11345,3447
11346,2331
11347,850
11348,-140
11349,-631
11350,-443
11351,246
11352,653
11353,882
11354,361
11355,-428
11356,-987
11357,-1530
11358,-1080
11359,89
11360,1069
11361,1380
11362,342
11363,-698
11364,-1398
11365,-1927
11366,-2203
11367,-2222
11368,-1867
11369,-1627
11370,-1250
11371,-696
11372,-383
11373,-310
11374,-48
11375,-6
11376,-69
11377,187
11378,777
11379,1007
11380,555
11381,613
11382,712
11383,813
11384,1191
11385,1466
11386,1914
11387,2381
11388,2858
11389,3450
11390,3756
11391,3654
11392,3356
11393,3167
11394,3140
11395,2767
11396,2381
11397,2029
11398,1458
11399,947
11400,493
11401,272
11402,299
11403,126
11404,-378
11405,-383
11406,-281
11407,-194
11408,301
11409,804
11410,1100
11411,696
11412,-114
11413,-818
11414,-1383
11415,-1912
11416,-2213
11417,-2471
11418,-2418
11419,-2076
11420,-1501
11421,-975
11422,-1103
11423,-1550
11424,-1938
11425,-2110
11426,-1971
11427,-1647
11428,-1084
11429,-630
11430,-661
11431,-748
11432,-689
11433,-973
11434,-1404
11435,-1475
11436,-1453
11437,-1797
11438,-1931
11439,-1825
11440,-1714
11441,-1557
11442,-1652
11443,-2165
11444,-2686
11445,-2899
11446,-2804
11447,-2462
11448,-2105
11449,-1963
11450,-1821
11451,-1293
11452,-603
11453,454
11454,1335
11455,1976
11456,2448
11457,2213
11458,1786
11459,1465
11460,454
11461,-843
11462,-1336
11463,-1718
11464,-1997
11465,-2033
11466,-2124
11467,-2202
11468,-1644
11469,-754
11470,74
11471,623
11472,766
11473,931
11474,1095
11475,1384
11476,1743
11477,2010
11478,1861
11479,1004
11480,136
11481,-274
11482,-747
11483,-1072
11484,-1561
11485,-1946
11486,-1765
11487,-1753
11488,-1185
11489,-417
11490,12
11491,493
11492,916
11493,1130
11494,892
11495,697
11496,506
11497,16
11498,-467
11499,-1208
11500,-1653
11501,-1892
11502,-2165
11503,-2378
11504,-2405
11505,-1650
11506,-520
11507,362
11508,918
11509,852
11510,455
11511,417
11512,147
11513,-235
11514,-529
11515,-1109
11516,-1657
11517,-1753
11518,-1239
11519,-754
11520,-477
11521,-449
11522,-591
11523,-416
11524,-314
11525,-626
11526,-840
11527,-1070
11528,-1100
11529,-781
11530,-689
11531,-689
11532,-501
11533,-275
11534,-359
11535,-457
11536,-651
11537,-775
11538,-390
11539,-185
11540,-172
11541,-351
11542,-423
11543,283
11544,1247
11545,1674
11546,2013
11547,2068
11548,2224
11549,2235
11550,1909
11551,1030
11552,-137
11553,-387
11554,-192
11555,0
11556,545
11557,1021
11558,1412
11559,1976
11560,2641
11561,3263
11562,3640
11563,3572
11564,2785
11565,1402
11566,440
11567,-202
11568,-937
11569,-1628
11570,-2055
11571,-1680
11572,-498
11573,678
11574,1519
11575,2116
11576,2323
11577,2170
11578,1843
11579,1200
11580,360
11581,-279
11582,-522
11583,-710
11584,-715
11585,-474
11586,45
11587,493
11588,688
11589,714
11590,343
11591,121
11592,235
11593,254
11594,16
11595,-176
11596,-148
11597,-148
11598,-272
11599,-1068
11600,-1869
11601,-2292
11602,-2595
11603,-2837
11604,-3082
11605,-3116
11606,-3233
11607,-2928
11608,-2418
11609,-2360
11610,-2194
11611,-1793
11612,-1254
11613,-907
11614,-686
11615,-74
11616,256
11617,373
11618,428
11619,131
11620,196
11621,614
11622,1063
11623,1481
11624,1233
11625,487
11626,-113
11627,-161
11628,109
11629,561
11630,1270
11631,1327
11632,563
11633,-245
11634,-823
11635,-807
11636,-213
11637,555
11638,1081
11639,1430
11640,1728
11641,1716
11642,1418
11643,1350
11644,1033
11645,409
11646,30
11647,-23
11648,102
11649,-324
11650,-634
11651,-672
11652,-883
11653,-695
11654,-638
11655,-533
11656,-266
11657,-206
11658,291
11659,832
11660,1128
11661,1056
11662,952
11663,1168
11664,1169
11665,766
11666,519
11667,649
11668,791
11669,511
11670,357
11671,-172
11672,-1918
11673,-3213
11674,-3530
11675,-3183
11676,-1732
11677,-151
11678,910
11679,1426
11680,1522
11681,1548
11682,1155
11683,467
11684,-228
11685,-725
11686,-822
11687,-1099
11688,-1113
11689,-847
11690,-784
11691,-613
11692,-621
11693,-627
11694,-492
11695,-418
11696,-52
11697,286
11698,576
11699,693
11700,379
11701,480
11702,828
11703,884
11704,903
11705,482
11706,-48
11707,-764
11708,-1141
11709,-1180
11710,-1150
11711,-1081
11712,-1247
11713,-1070
11714,-1234
11715,-1208
11716,-548
11717,436
11718,1228
11719,1681
11720,1989
11721,2134
11722,1896
11723,1709
11724,1711
11725,1413
11726,652
11727,48
11728,284
11729,279
11730,24
11731,164
11732,460
11733,552
11734,798
11735,641
11736,317
11737,92
11738,-285
11739,171
11740,687
11741,469
11742,147
11743,-256
11744,-645
11745,-936
11746,-936
11747,-878
11748,-891
11749,-808
11750,-440
11751,241
11752,778
11753,1067
11754,1043
11755,919
11756,1057
11757,1100
11758,1025
11759,263
11760,-418
11761,-724
11762,-1313
11763,-2025
11764,-2305
11765,-2276
11766,-2483
11767,-2431
11768,-2104
11769,-1594
11770,-969
11771,-398
11772,-212
11773,-269
11774,-122
11775,-27
11776,-44
11777,16
11778,-481
11779,-796
11780,-650
11781,-475
11782,27
11783,441
11784,596
11785,1250
11786,2013
11787,2294
11788,2115
11789,1670
11790,1037
11791,326
11792,-115
11793,-568
11794,-824
11795,-617
11796,-719
11797,-109
11798,1829
11799,2765
11800,1251
11801,-299
11802,-333
11803,699
11804,1257
11805,818
11806,707
11807,638
11808,328
11809,-335
11810,-722
11811,-437
11812,259
11813,936
11814,748
11815,387
11816,137
11817,12
11818,113
11819,112
11820,330
11821,653
11822,416
11823,333
11824,86
11825,-179
11826,89
11827,570
11828,855
11829,840
11830,892
11831,988
11832,521
11833,-292
11834,-1259
11835,-1810
11836,-2137
11837,-2504
11838,-2696
11839,-2988
11840,-3017
11841,-2659
11842,-1922
11843,-1003
11844,-266
11845,-100
11846,-643
11847,-1261
11848,-1551
11849,-1589
11850,-1604
11851,-1564
11852,-1529
11853,-2085
11854,-2782
11855,-3190
11856,-3158
11857,-2738
11858,-2336
11859,-2181
11860,-1789
11861,-1476
11862,-1452
11863,-1036
11864,-768
11865,-899
11866,-626
11867,-439
11868,-631
11869,-645
11870,-68
11871,825
11872,1162
11873,564
11874,-595
11875,-1575
11876,-1789
11877,-2090
11878,-1956
11879,-1353
11880,-1324
11881,-1280
11882,-1449
11883,-1842
11884,-1817
11885,-1581
11886,-1328
11887,-928
11888,-291
11889,887
11890,1910
11891,2434
11892,2818
11893,2810
11894,2269
11895,1444
11896,640
11897,80
11898,-449
11899,-977
11900,-1385
11901,-1477
11902,-1175
11903,-562
11904,332
11905,1252
11906,1557
11907,1444
11908,1440
11909,1096
11910,890
11911,1138
11912,1086
11913,955
11914,689
11915,-266
11916,-677
11917,-391
11918,154
11919,787
11920,1199
11921,1793
11922,2643
11923,2753
11924,2857
11925,3541
11926,3897
11927,3518
11928,2664
11929,1502
11930,308
11931,-522
11932,-910
11933,-1058
11934,-1334
11935,-1104
11936,-34
11937,1040
11938,1613
11939,1789
11940,1667
11941,1229
11942,899
11943,647
11944,139
11945,-155
11946,-393
11947,-317
11948,-191
11949,-452
11950,-411
11951,-317
11952,-552
11953,-657
11954,-459
11955,-7
11956,90
11957,79
11958,466
11959,570
11960,727
11961,1338
11962,2110
11963,2735
11964,3097
11965,3125
11966,2615
11967,2016
11968,1066
11969,-514
11970,-1372
11971,-1277
11972,-797
11973,-102
11974,471
11975,630
11976,343
11977,-78
11978,-451
11979,-388
11980,176
11981,515
11982,622
11983,161
11984,-399
11985,-631
11986,-811
11987,-682
11988,-435
11989,76
11990,656
11991,417
11992,-541
11993,-1541
11994,-2237
11995,-2643
11996,-2838
11997,-2737
11998,-2301
11999,-1893
12000,-1458
12001,-966
12002,-453
12003,119
12004,126
12005,38
12006,-255
12007,-707
12008,-806
12009,-774
12010,-896
12011,-1053
12012,-1320
12013,-1596
12014,-1369
12015,-756
12016,124
12017,905
12018,952
12019,450
12020,-161
12021,-569
12022,-787
12023,-673
12024,-622
12025,-519
12026,-806
12027,-1849
12028,-2766
12029,-3327
12030,-3044
12031,-1963
12032,-1486
12033,-1556
12034,-1856
12035,-2473
12036,-2979
12037,-3666
12038,-4249
12039,-4247
12040,-4039
12041,-3968
12042,-3814
12043,-3467
12044,-3122
12045,-2817
12046,-2441
12047,-2227
12048,-2082
12049,-1417
12050,-855
12051,-604
12052,-863
12053,-1518
12054,-1851
12055,-1744
12056,-1375
12057,-1262
12058,-1114
12059,-591
12060,-80
12061,44
12062,-213
12063,-487
12064,-527
12065,-191
12066,555
12067,1792
12068,3263
12069,4228
12070,4892
12071,5468
12072,5188
12073,4473
12074,4566
12075,4850
12076,4680
12077,4610
12078,5192
12079,5993
12080,6461
12081,6476
12082,5912
12083,5072
12084,4122
12085,3040
12086,2598
12087,2587
12088,2995
12089,3748
12090,4205
12091,4409
12092,4549
12093,4802
12094,5252
12095,5361
12096,5053
12097,4486
12098,3737
12099,2815
12100,1899
12101,1234
12102,907
12103,57
12104,-835
12105,-1547
12106,-1886
12107,-2005
12108,-1911
12109,-1257
12110,-1414
12111,-2022
12112,-2296
12113,-2482
12114,-2567
12115,-2576
12116,-2796
12117,-3493
12118,-4285
12119,-5227
12120,-5837
12121,-5974
12122,-5840
12123,-5861
12124,-6044
12125,-5895
12126,-5620
12127,-5239
12128,-4808
12129,-4727
12130,-4653
12131,-4757
12132,-4875
12133,-4761
12134,-4746
12135,-4633
12136,-4545
12137,-4782
12138,-5240
12139,-6157
12140,-6407
12141,-6146
12142,-6091
12143,-5609
12144,-5338
12145,-4921
12146,-4143
12147,-3392
12148,-2621
12149,-2285
12150,-1840
12151,-1385
12152,-1326
12153,-1569
12154,-2674
12155,-3890
12156,-4548
12157,-4700
12158,-4094
12159,-3419
12160,-3057
12161,-2594
12162,-1783
12163,-1113
12164,-1201
12165,-1893
12166,-2417
12167,-2339
12168,-1980
12169,-1589
12170,-1434
12171,-1828
12172,-2459
12173,-2829
12174,-2586
12175,-1690
12176,-661
12177,143
12178,1135
12179,2308
12180,3517
12181,4882
12182,6734
12183,8426
12184,9893
12185,11032
12186,12249
12187,14168
12188,16353
12189,19070
12190,21790
12191,24520
12192,27164
12193,29127
12194,31006
12195,32368
12196,32342
12197,32092
12198,32218
12199,31858
12200,30269
12201,27035
12202,23146
12203,17885
12204,11404
12205,5067
12206,-1089
12207,-7073
12208,-12532
12209,-17040
12210,-20833
12211,-24040
12212,-26459
12213,-27825
12214,-27930
12215,-27900
12216,-27906
12217,-27615
12218,-26874
12219,-25201
12220,-23195
12221,-21096
12222,-19300
12223,-17349
12224,-15333
12225,-13371
12226,-11664
12227,-10704
12228,-9918
12229,-8938
12230,-7678
12231,-6428
12232,-5575
12233,-5381
12234,-5453
12235,-5615
12236,-4763
12237,-2742
12238,-834
12239,1059
12240,2595
12241,4119
12242,6145
12243,8150
12244,9613
12245,10165
12246,10150
12247,10189
12248,9893
12249,8799
12250,7435
12251,6325
12252,5276
12253,4509
12254,3954
12255,2823
12256,1310
12257,240
12258,-583
12259,-1568
12260,-2536
12261,-3400
12262,-3878
12263,-3793
12264,-2960
12265,-1714
