,M
646,-10151
647,-8735
648,-7431
649,-5966
650,-4487
651,-2778
652,-1280
653,60
654,1354
655,2534
656,3824
657,5013
658,6218
659,7229
660,7930
661,8616
662,9012
663,9404
664,9795
665,9956
666,10205
667,9852
668,9450
669,9291
670,8746
671,8522
672,8427
673,7455
674,6007
675,5771
676,5879
677,5280
678,3983
679,2932
680,2711
681,2466
682,1699
683,563
684,-157
685,-344
686,-578
687,-1170
688,-1801
689,-2406
690,-2934
691,-3154
692,-3488
693,-3854
694,-4162
695,-4291
696,-4192
697,-4022
698,-3982
699,-4068
700,-3957
701,-3786
702,-3855
703,-4030
704,-4103
705,-3921
706,-3834
707,-3732
708,-3794
709,-3840
710,-3715
711,-3685
712,-3497
713,-3309
714,-3409
715,-3413
716,-3290
717,-3221
718,-3019
719,-2782
720,-2684
721,-2634
722,-2225
723,-1892
724,-1630
725,-1184
726,-1109
727,-1177
728,-860
729,-683
730,-279
731,-25
732,-280
733,-30
734,48
735,18
736,254
737,315
738,230
739,35
740,-32
741,127
742,177
743,32
744,-45
745,30
746,-1
747,17
748,7
749,30
750,447
751,634
752,689
753,959
754,1052
755,1158
756,1235
757,1335
758,1263
759,1138
760,1075
761,1014
762,1118
763,1242
764,1078
765,1286
766,1543
767,1479
768,1691
769,1811
770,1971
771,2032
772,2246
773,2515
774,2509
775,2585
776,2711
777,2773
778,2914
779,2750
780,2654
781,2928
782,2997
783,2966
784,2928
785,3019
786,3083
787,2936
788,2818
789,2646
790,2354
791,2158
792,2026
793,1734
794,1238
795,866
796,722
797,433
798,11
799,-498
800,-923
801,-1221
802,-1376
803,-1566
804,-2044
805,-2468
806,-2579
807,-3012
808,-3329
809,-3396
810,-3788
811,-3942
812,-4107
813,-4276
814,-4420
815,-4613
816,-4650
817,-4789
818,-4713
819,-4490
820,-4313
821,-4144
822,-4060
823,-4008
824,-3875
825,-3493
826,-3191
827,-3186
828,-3224
829,-3253
830,-3116
831,-2895
832,-2775
833,-2773
834,-2443
835,-1896
836,-1775
837,-1677
838,-1391
839,-1049
840,-782
841,-505
842,-108
843,-2
844,37
845,257
846,451
847,165
848,-30
849,30
850,-34
851,65
852,172
853,145
854,171
855,261
856,200
857,276
858,407
859,359
860,528
861,738
862,741
863,908
864,675
865,617
866,942
867,933
868,702
869,706
870,500
871,426
872,651
873,342
874,286
875,537
876,448
877,627
878,682
879,688
880,999
881,1016
882,1072
883,1253
884,1306
885,1262
886,1148
887,1262
888,1173
889,1106
890,1297
891,1288
892,1443
893,1610
894,1576
895,1614
896,1547
897,1656
898,1600
899,1450
900,1507
901,1384
902,1387
903,1340
904,1268
905,1379
906,1295
907,1158
908,1266
909,1403
910,1541
911,1798
912,1999
913,2048
914,1670
915,1824
916,2146
917,1823
918,1796
919,1822
920,1663
921,1556
922,1351
923,1228
924,961
925,835
926,1132
927,1078
928,904
929,898
930,1149
931,1447
932,1420
933,1551
934,1388
935,1446
936,1888
937,1676
938,1539
939,1277
940,944
941,982
942,820
943,424
944,277
945,403
946,394
947,284
948,243
949,188
950,35
951,165
952,158
953,-24
954,-94
955,-207
956,-196
957,-487
958,-644
959,-740
960,-849
961,-899
962,-1297
963,-1341
964,-1474
965,-1608
966,-1479
967,-1620
968,-1568
969,-1609
970,-1778
971,-1917
972,-2199
973,-2043
974,-1808
975,-1869
976,-1781
977,-1956
978,-2042
979,-2014
980,-1957
981,-1932
982,-1947
983,-1784
984,-1522
985,-1358
986,-1317
987,-1198
988,-1110
989,-927
990,-820
991,-775
992,-876
993,-742
994,-809
995,-715
996,-313
997,-378
998,-413
999,-170
1000,-126
1001,-72
1002,18
1003,-77
1004,-5
1005,-53
1006,-168
1007,-35
1008,-42
1009,-251
1010,-239
1011,-341
1012,-434
1013,-361
1014,-386
1015,-654
1016,-666
1017,-723
1018,-633
1019,-493
1020,-332
1021,-185
1022,-114
1023,-171
1024,-321
1025,-230
1026,-340
1027,-250
1028,-188
1029,-454
1030,-336
1031,-571
1032,-580
1033,-596
1034,-1000
1035,-840
1036,-519
1037,-643
1038,-507
1039,-396
1040,-407
1041,-382
1042,-46
1043,177
1044,-158
1045,-139
1046,-30
1047,-33
1048,-76
1049,-60
1050,51
1051,61
1052,13
1053,124
1054,20
1055,21
1056,150
1057,223
1058,430
1059,278
1060,320
1061,546
1062,661
1063,627
1064,683
1065,856
1066,1080
1067,1129
1068,1459
1069,1539
1070,1558
1071,1658
1072,1742
1073,1795
1074,1699
1075,1813
1076,1724
1077,1479
1078,1413
1079,1226
1080,1227
1081,1266
1082,1056
1083,949
1084,741
1085,534
1086,555
1087,557
1088,698
1089,544
1090,819
1091,840
1092,559
1093,633
1094,551
1095,158
1096,-26
1097,-225
1098,-664
1099,-792
1100,-1018
1101,-1184
1102,-1247
1103,-1301
1104,-1124
1105,-1264
1106,-1275
1107,-1325
1108,-1180
1109,-1066
1110,-1109
1111,-948
1112,-772
1113,-652
1114,-500
1115,-228
1116,14
1117,-1
1118,-147
1119,-169
1120,-273
1121,-344
1122,-378
1123,-552
1124,-929
1125,-1121
1126,-1129
1127,-1082
1128,-1136
1129,-1040
1130,-943
1131,-1012
1132,-940
1133,-881
1134,-789
1135,-634
1136,-430
1137,-375
1138,-455
1139,-387
1140,-260
1141,-368
1142,-226
1143,-342
1144,-414
1145,-210
1146,-324
1147,-238
1148,-261
1149,-353
1150,-290
